conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sentiment_raw,sentiment_label,sentiment_score,sentiment_category
1933542787863171402,Sat Jun 14 11:48:01 +0000 2025,0,AI tidak akan menggantikan manusia gibran,1933853931983265986,,KatarOnline,in,,0,0,0,https://x.com/undefined/status/1933853931983265986,1451747696679665669,,"{'label': 'negative', 'score': 0.9560582637786865}",negative,0.9560582637786865,Negatif
1933621883598946463,Sat Jun 14 11:35:42 +0000 2025,0,Jangan anggap remeh ya kita punya omon2 Prabowo plus AI Gibran lebih dari cukup untuk serangan balik,1933850834674348173,,primaprasa,in,,0,0,0,https://x.com/undefined/status/1933850834674348173,1914318172913909760,,"{'label': 'positive', 'score': 0.972200334072113}",positive,0.972200334072113,Positif
1933370554083651726,Sat Jun 14 10:13:10 +0000 2025,0,Junjungan AI dia adalah Gibran yg ikut mengembangkan Transformer Architecture di google sebelum jadi walkot Oslo,1933830062970962241,,teukuhirzi,in,,0,0,0,https://x.com/undefined/status/1933830062970962241,44563814,,"{'label': 'neutral', 'score': 0.9894713163375854}",neutral,0.9894713163375854,Netral
1933724602402025592,Sat Jun 14 08:50:19 +0000 2025,0,tweet RI Percuma demo spt ini cape dan panas mending demo pake AI pqsti di respon terbukti,1933809212481785961,,yaniarsim,in,,0,0,0,https://x.com/undefined/status/1933809212481785961,1790879022223921152,,"{'label': 'negative', 'score': 0.9982478618621826}",negative,0.9982478618621826,Negatif
1933708971329925602,Sat Jun 14 08:23:10 +0000 2025,0,Kata Bapak Wapres tweet AI Jangan dianggap sbg Ancaman,1933802381541871675,https://pbs.twimg.com/media/GtY_BIoaIAAbqNV.jpg,Srik4ndiMuslim2,in,,0,0,0,https://x.com/undefined/status/1933802381541871675,1686076901209804800,,"{'label': 'negative', 'score': 0.9230113625526428}",negative,0.9230113625526428,Negatif
1933708971329925602,Sat Jun 14 07:59:45 +0000 2025,0,kaum yaman hina gibran karna AI sekarang mereka buat konten buzzer menggunakan AI hahahha penjilat radikal,1933796485520650618,,Srik4ndiMuslim2,in,,0,0,0,https://x.com/undefined/status/1933796485520650618,1730070020573814784,,"{'label': 'negative', 'score': 0.9995113611221313}",negative,0.9995113611221313,Negatif
1933626090138055147,Sat Jun 14 07:38:53 +0000 2025,0,joget omke gas mbg makan bahlil ganteng ai anak iblis gibran ngeliat prabowo ngentot sama teddy,1933791235741004061,,hanifzhl,in,,0,0,0,https://x.com/undefined/status/1933791235741004061,1079709028488404993,,"{'label': 'negative', 'score': 0.9931600093841553}",negative,0.9931600093841553,Negatif
1933708971329925602,Sat Jun 14 07:36:04 +0000 2025,2,Ini AI jangan di telan mentah2 Polri tweet,1933790525586645379,,Srik4ndiMuslim2,in,,0,0,0,https://x.com/undefined/status/1933790525586645379,1885579365561622528,,"{'label': 'negative', 'score': 0.998449444770813}",negative,0.998449444770813,Negatif
1933726647913755141,Sat Jun 14 07:06:45 +0000 2025,0,tweet Terbaik sepanjang sejarah itil,1933783148011401253,,xquitavee,in,,0,0,0,https://x.com/undefined/status/1933783148011401253,1553045359990960128,,"{'label': 'positive', 'score': 0.9977263808250427}",positive,0.9977263808250427,Positif
1933745472893825411,Sat Jun 14 04:37:02 +0000 2025,0,Gibran cuma bisa bilang AI AI AI aja bukan bisa kerja aowkwowkwowk,1933745472893825411,,,in,,0,0,0,https://x.com/undefined/status/1933745472893825411,1174929598477299712,,"{'label': 'negative', 'score': 0.9993502497673035}",negative,0.9993502497673035,Negatif
1933436535933984935,Sat Jun 14 03:57:11 +0000 2025,0,ITU IBU KOTA EMANG BUAT GIBRAN KAESANG JAN ETES BOBY BIAR KALO MEREKA BERKUASA DI SITU RAKYAT SUSAH BUAT DEMO TRUS SI PICEK HERCULES JD BALA TENTARANYA UJUNG2NYA ITU KOK NANTINYA TUJUANYA PENJAJAHAN OLEH REZIM,1933735443709022281,https://pbs.twimg.com/ext_tw_video_thumb/1933735419587538945/pu/img/qOSAGztOIQW3mdxn.jpg,xquitavee,in,,0,0,0,https://x.com/undefined/status/1933735443709022281,1553045359990960128,,"{'label': 'negative', 'score': 0.9825154542922974}",negative,0.9825154542922974,Negatif
1933532537722450339,Fri Jun 13 14:30:54 +0000 2025,1,ini ai nya yang jawab gibran ya goblok bgt jir,1933532537722450339,https://pbs.twimg.com/media/GtVJkG_bMAIKHCO.jpg,,in,,0,0,0,https://x.com/undefined/status/1933532537722450339,1794123706081660928,,"{'label': 'negative', 'score': 0.9968292117118835}",negative,0.9968292117118835,Negatif
1933188922827243959,Fri Jun 13 13:58:17 +0000 2025,0,Karena lagi belajar AI disuruh wapres gibran Sedang ujian praktek,1933524326814527868,,grophiuchus,in,,0,0,0,https://x.com/undefined/status/1933524326814527868,1799438332096819200,,"{'label': 'neutral', 'score': 0.9988553524017334}",neutral,0.9988553524017334,Netral
